64779fd4d814571ac5053f95,2023-03-07T00:10:00.298z,-0.34745,0.97792,-0.05331,0.42446,-0.71313,0.5567
64779fd4d814571ac5053f95,2023-03-07T00:20:00.298z,-0.6735,-0.58227,0.00132,0.32027,0.23581,-0.83604
64779fd4d814571ac5053f95,2023-03-07T00:30:00.298z,-0.03672,0.5386,-0.51171,0.69252,0.2738,0.90267
64779fd4d814571ac5053f95,2023-03-07T00:40:00.298z,-0.82215,-0.64555,-0.3523,0.48398,-0.02472,0.93999
64779fd4d814571ac5053f95,2023-03-07T00:50:00.298z,-0.01084,0.46648,-0.27611,0.19518,0.11733,0.57358
64779fd4d814571ac5053f95,2023-03-07T01:00:00.298z,0.04103,-0.85672,0.50255,-0.17537,0.44652,0.81866
64779fd4d814571ac5053f95,2023-03-07T01:10:00.298z,0.06744,-0.6986,-0.75898,0.57583,0.24998,0.26843
64779fd4d814571ac5053f95,2023-03-07T01:20:00.298z,0.17139,-0.10528,0.51771,-0.78739,0.27878,0.25141
64779fd4d814571ac5053f95,2023-03-07T01:30:00.298z,-0.35399,0.612,0.60759,-0.64186,-0.16059,-0.22885
64779fd4d814571ac5053f95,2023-03-07T01:40:00.298z,0.54514,-0.828,-0.40922,0.24174,-0.86229,0.95232
